InvoiceMonth,MeatIndustryCash,MiscAndMilkIndustryCash,RadiologicalCash,GovernmentCash
2019-03,2052670.94,4822,221673.34,565166.74
2019-04,1734847.83,2656.09,27731.65,225359.32
2019-05,2341683.02,6338.5,6866.85,206585.46
2019-06,2168288.28,2338.8,0,31402.03
2019-07,1995655.05,4325.5,209066.76,315252.74
2019-08,2560690.76,4463.35,13191.69,132061.17
2019-09,2213623.14,4981,188079.83,568362.93
2019-10,1669657.32,4901.75,18671.62,422690
2019-11,2671622.63,3521.93,251.96,260947.7
2019-12,2036875.54,3248.73,241804.02,328867.59
2020-01,2557590.81,52094.73,13546.47,444586.95
2020-02,2078583.12,4499.83,0,196612.74
