InvoiceMonth,MeatIndustryCash,MiscAndMilkIndustryCash,RadiologicalCash,GovernmentCash
2018-07,1793741.56,4168,72935.56,225527.78
2018-08,1995248.88,3692.5,2562.88,234247.95
2018-09,2163567.12,5402.3,0.01,131117.98
2018-10,2135510.19,12212.94,347600,268724.04
2018-11,2266240.85,3901.7,13105.74,229532.29
2018-12,1644209.61,5446,136878.13,571682.01
2019-01,2153870.54,4619.5,17802.88,291021.98
2019-02,1941104.04,4822.75,228.16,246762.63
2019-03,2052670.94,4822,221673.34,565166.74
2019-04,1734847.83,2656.09,27731.65,225359.32
2019-05,2341683.02,6338.5,6866.85,206585.46
2019-06,2168288.28,2338.8,0,31402.03
