InvoiceMonth,MeatIndustryCash,MiscAndMilkIndustryCash,RadiologicalCash,GovernmentCash
2018-10,2135510.19,12212.94,347600,268724.04
2018-11,2266240.85,3901.7,13105.74,229532.29
2018-12,1644209.61,5446,136878.13,571682.01
2019-01,2153870.54,4619.5,17802.88,291021.98
2019-02,1941104.04,4822.75,228.16,246762.63
2019-03,2052670.94,4822,221673.34,565166.74
2019-04,1734847.83,2656.09,27731.65,225359.32
2019-05,2341683.02,6338.5,6866.85,206585.46
2019-06,2168288.28,2338.8,0,31402.03
2019-07,1995655.05,4325.5,209066.76,315252.74
2019-08,2560690.76,4463.35,13191.69,132061.17
2019-09,2213623.14,4981,188079.83,568362.93
